condition_id,event_start,ts_ms,event_end_ms,up_best_ask,up_best_bid,down_best_ask,down_best_bid,up_ask_sz_1,down_ask_sz_1
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681933890,1785682200000,0.480000,0.470000,0.530000,0.520000,55.76,134.37
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681934390,1785682200000,0.450000,0.440000,0.560000,0.550000,249.36,18.6
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681934890,1785682200000,0.420000,0.410000,0.590000,0.580000,10,129.99
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681935391,1785682200000,0.410000,0.390000,0.610000,0.590000,523.84,28.44
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681935890,1785682200000,0.390000,0.380000,0.620000,0.610000,40,69.08
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681936389,1785682200000,0.400000,0.390000,0.610000,0.600000,5,466.98
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681936891,1785682200000,0.410000,0.400000,0.600000,0.590000,133.95,253.11
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681937390,1785682200000,0.410000,0.400000,0.600000,0.590000,138.95,243.11
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681937890,1785682200000,0.380000,0.370000,0.630000,0.620000,326.37,46.97
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681938390,1785682200000,0.380000,0.370000,0.630000,0.620000,197.12,102.16
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681938889,1785682200000,0.380000,0.370000,0.630000,0.620000,262.12,92.87
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681939390,1785682200000,0.440000,0.430000,0.570000,0.560000,25.99,359.62
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681939890,1785682200000,0.420000,0.410000,0.590000,0.580000,61.83,55.61
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681940390,1785682200000,0.420000,0.410000,0.590000,0.580000,113.07,29.61
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681940891,1785682200000,0.380000,0.370000,0.630000,0.620000,31.25,438.62
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681941391,1785682200000,0.440000,0.430000,0.570000,0.560000,458.37,14.61
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681941890,1785682200000,0.430000,0.420000,0.580000,0.570000,20.26,314.81
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681942389,1785682200000,0.450000,0.440000,0.560000,0.550000,410.56,15
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681942890,1785682200000,0.440000,0.430000,0.570000,0.560000,225.95,37.93
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681943390,1785682200000,0.440000,0.430000,0.570000,0.560000,246.13,47.93
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681943890,1785682200000,0.440000,0.430000,0.570000,0.560000,208.22,47.93
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681944390,1785682200000,0.440000,0.430000,0.570000,0.560000,178.01,167.5
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681944889,1785682200000,0.440000,0.430000,0.570000,0.560000,254.52,59.83
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681945390,1785682200000,0.410000,0.400000,0.600000,0.590000,241.25,28.12
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681945891,1785682200000,0.430000,0.420000,0.580000,0.570000,13.75,412.77
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681946390,1785682200000,0.440000,0.430000,0.570000,0.560000,32.18,488.69
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681946890,1785682200000,0.440000,0.430000,0.570000,0.560000,47.18,478.97
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681947390,1785682200000,0.440000,0.430000,0.570000,0.560000,22,461.66
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681947890,1785682200000,0.440000,0.430000,0.570000,0.560000,43.1,457.6
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681948390,1785682200000,0.430000,0.420000,0.580000,0.570000,440.94,10
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681948890,1785682200000,0.400000,0.390000,0.610000,0.600000,225.25,45.21
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681949390,1785682200000,0.400000,0.390000,0.610000,0.600000,131.92,17.1
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681949890,1785682200000,0.390000,0.380000,0.620000,0.610000,199.12,65.49
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681950389,1785682200000,0.390000,0.380000,0.620000,0.610000,205.67,42.36
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681950890,1785682200000,0.370000,0.360000,0.640000,0.630000,702.59,25
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681951390,1785682200000,0.330000,0.320000,0.680000,0.670000,26.81,208.24
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681951890,1785682200000,0.340000,0.330000,0.670000,0.660000,19.85,280.53
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681952389,1785682200000,0.340000,0.330000,0.670000,0.660000,10,256.95
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681952889,1785682200000,0.350000,0.340000,0.660000,0.650000,50.2,350.66
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681953391,1785682200000,0.350000,0.340000,0.660000,0.650000,45.7,414.99
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681953890,1785682200000,0.360000,0.350000,0.650000,0.640000,74.82,271.17
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681954389,1785682200000,0.360000,0.350000,0.650000,0.640000,47.4,269.08
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681954890,1785682200000,0.360000,0.350000,0.650000,0.640000,36,343.55
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681955390,1785682200000,0.360000,0.350000,0.650000,0.640000,51.02,134.08
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681955890,1785682200000,0.280000,0.270000,0.730000,0.720000,27,399.25
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681956390,1785682200000,0.410000,0.350000,0.650000,0.590000,13.64,78.12
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681956890,1785682200000,0.420000,0.410000,0.590000,0.580000,72.63,30.85
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681957391,1785682200000,0.420000,0.410000,0.590000,0.580000,17,58.07
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681957891,1785682200000,0.450000,0.440000,0.560000,0.550000,1002.19,27
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681958389,1785682200000,0.450000,0.440000,0.560000,0.550000,1025.83,46.58
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681958890,1785682200000,0.440000,0.430000,0.570000,0.560000,442.36,304.85
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681959390,1785682200000,0.440000,0.430000,0.570000,0.560000,362.99,28.84
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681959889,1785682200000,0.440000,0.430000,0.570000,0.560000,89,40.01
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681960390,1785682200000,0.440000,0.430000,0.570000,0.560000,55,317.29
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681960891,1785682200000,0.450000,0.440000,0.560000,0.550000,1264.64,5
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681961390,1785682200000,0.440000,0.430000,0.570000,0.560000,234.81,20.75
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681961890,1785682200000,0.420000,0.410000,0.590000,0.580000,129.37,83.53
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681962391,1785682200000,0.420000,0.410000,0.590000,0.580000,25,141.17
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681962891,1785682200000,0.440000,0.430000,0.570000,0.560000,34.69,139.37
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681963391,1785682200000,0.450000,0.440000,0.560000,0.550000,541.07,661.27
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681963890,1785682200000,0.540000,0.530000,0.470000,0.460000,19.07,988.95
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681964389,1785682200000,0.590000,0.580000,0.420000,0.410000,24.01,258.12
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681964890,1785682200000,0.600000,0.590000,0.410000,0.400000,400.61,248.11
